Date,Symbol,Open,High,Low,Close,Volume,Pct_Change
2023-08-24,AAPL,180.674,181.104,176.01,176.38,54945798,-2.62
2023-08-25,AAPL,177.38,179.15,175.82,178.61,51449594,1.26
2023-08-28,AAPL,180.09,180.59,178.545,180.19,43820697,0.88
2023-08-29,AAPL,179.695,184.9,179.5,184.12,53003948,2.18
2023-08-30,AAPL,184.94,187.85,184.74,187.65,60813888,1.92
2023-08-31,AAPL,187.84,189.12,187.48,187.87,60794467,0.12
2023-09-01,AAPL,189.485,189.92,188.28,189.46,45766503,0.85
2023-09-05,AAPL,188.28,189.98,187.61,189.7,45280027,0.13
2023-09-06,AAPL,188.4,188.85,181.47,182.91,81755816,-3.58
2023-09-07,AAPL,175.18,178.21,173.54,177.56,112488803,-2.92
2023-09-08,AAPL,178.35,180.239,177.79,178.18,65602066,0.35
2023-09-11,AAPL,180.07,180.3,177.34,179.36,58953052,0.66
2023-09-12,AAPL,179.49,180.13,174.82,176.3,90370192,-1.71
2023-09-13,AAPL,176.51,177.3,173.98,174.21,84267928,-1.19
2023-09-14,AAPL,174.0,176.1,173.58,175.74,60895757,0.88
2023-09-15,AAPL,176.48,176.495,173.82,175.01,109259461,-0.42
2023-09-18,AAPL,176.48,179.38,176.17,177.97,67257573,1.69
2023-09-19,AAPL,177.52,179.63,177.13,179.07,51826941,0.62
2023-09-20,AAPL,179.26,179.695,175.4,175.49,58436181,-2.0
2023-09-21,AAPL,174.55,176.3,173.86,173.93,63149116,-0.89
2023-09-22,AAPL,174.67,177.079,174.05,174.79,56725385,0.49
2023-09-25,AAPL,174.2,176.97,174.15,176.08,46172740,0.74
2023-09-26,AAPL,174.82,175.2,171.66,171.96,64588945,-2.34
2023-09-27,AAPL,172.62,173.04,169.05,170.43,66921808,-0.89
2023-09-28,AAPL,169.34,172.03,167.62,170.69,56294419,0.15
2023-09-29,AAPL,172.02,173.07,170.341,171.21,51861083,0.3
2023-10-02,AAPL,171.22,174.3,170.93,173.75,52164535,1.48
2023-10-03,AAPL,172.255,173.63,170.82,172.4,49594613,-0.78
2023-10-04,AAPL,171.09,174.21,170.97,173.66,53020286,0.73
2023-10-05,AAPL,173.79,175.45,172.68,174.91,48527918,0.72
2023-10-06,AAPL,173.8,177.99,173.18,177.49,57266675,1.48
2023-10-09,AAPL,176.81,179.05,175.8,178.99,42390772,0.85
2023-10-10,AAPL,178.1,179.72,177.95,178.39,43698019,-0.34
2023-10-11,AAPL,178.2,179.85,177.6,179.8,47551098,0.79
2023-10-12,AAPL,180.07,182.34,179.04,180.71,56743119,0.51
2023-10-13,AAPL,181.42,181.93,178.14,178.85,51456082,-1.03
2023-10-16,AAPL,176.75,179.075,176.51,178.72,52516984,-0.07
2023-10-17,AAPL,176.645,178.42,174.8,177.15,57549350,-0.88
2023-10-18,AAPL,175.58,177.575,175.11,175.84,54764375,-0.74
2023-10-19,AAPL,176.04,177.84,175.19,175.46,59302863,-0.22
2023-10-20,AAPL,175.31,175.42,172.64,172.88,64244028,-1.47
2023-10-23,AAPL,170.91,174.01,169.93,173.0,55980109,0.07
2023-10-24,AAPL,173.05,173.67,171.45,173.44,43816644,0.25
2023-10-25,AAPL,171.88,173.06,170.65,171.1,57156962,-1.35
2023-10-26,AAPL,170.37,171.3775,165.67,166.89,70625258,-2.46
2023-10-27,AAPL,166.91,168.96,166.83,168.22,58499129,0.8
2023-10-30,AAPL,169.02,171.17,168.87,170.29,51130955,1.23
2023-10-31,AAPL,169.35,170.9,167.9,170.77,44846017,0.28
2023-11-01,AAPL,171.0,174.23,170.12,173.97,56934906,1.87
2023-11-02,AAPL,175.52,177.78,175.46,177.57,77334752,2.07
2023-11-03,AAPL,174.24,176.82,173.35,176.65,79829246,-0.52
2023-11-06,AAPL,176.38,179.43,176.21,179.23,63841310,1.46
2023-11-07,AAPL,179.18,182.44,178.97,181.82,70529966,1.45
2023-11-08,AAPL,182.35,183.45,181.59,182.89,49340282,0.59
2023-11-09,AAPL,182.96,184.12,181.81,182.41,53763540,-0.26
2023-11-10,AAPL,183.97,186.565,183.53,186.4,66177922,2.19
2023-11-13,AAPL,185.82,186.03,184.21,184.8,43627519,-0.86
2023-11-14,AAPL,187.7,188.11,186.3,187.44,60108378,1.43
2023-11-15,AAPL,187.845,189.5,187.78,188.01,53790499,0.3
2023-11-16,AAPL,189.57,190.96,188.65,189.71,54412915,0.9
2023-11-17,AAPL,190.25,190.38,188.57,189.69,50941404,-0.01
2023-11-20,AAPL,189.89,191.905,189.88,191.45,46538614,0.93
2023-11-21,AAPL,191.41,191.52,189.74,190.64,38134485,-0.42
2023-11-22,AAPL,191.49,192.93,190.825,191.31,39630011,0.35
2023-11-24,AAPL,190.87,190.9,189.25,189.97,24048344,-0.7
2023-11-27,AAPL,189.92,190.67,188.9,189.79,40552609,-0.09
2023-11-28,AAPL,189.78,191.08,189.4,190.4,38415419,0.32
2023-11-29,AAPL,190.9,192.09,188.97,189.37,43014224,-0.54
2023-11-30,AAPL,189.84,190.32,188.19,189.95,48794366,0.31
2023-12-01,AAPL,190.33,191.56,189.23,191.24,45704823,0.68
2023-12-04,AAPL,189.98,190.05,187.4511,189.43,43389519,-0.95
2023-12-05,AAPL,190.21,194.4,190.18,193.42,66628398,2.11
2023-12-06,AAPL,194.45,194.76,192.11,192.32,40895115,-0.57
2023-12-07,AAPL,193.63,195.0,193.59,194.27,47477655,1.01
2023-12-08,AAPL,194.2,195.99,193.67,195.71,53406358,0.74
2023-12-11,AAPL,193.11,193.49,191.42,193.18,60943699,-1.29
2023-12-12,AAPL,193.08,194.72,191.721,194.71,52696900,0.79
2023-12-13,AAPL,195.09,198.0,194.85,197.96,70404183,1.67
2023-12-14,AAPL,198.02,199.62,196.16,198.11,66831572,0.08
2023-12-15,AAPL,197.53,198.3999,197.0,197.57,128538401,-0.27
2023-12-18,AAPL,196.09,196.63,194.39,195.89,55751861,-0.85
2023-12-19,AAPL,196.16,196.95,195.89,196.94,40233138,0.54
2023-12-20,AAPL,196.9,197.68,194.83,194.83,52242815,-1.07
2023-12-21,AAPL,196.1,197.08,193.5,194.68,46482549,-0.08
2023-12-22,AAPL,195.18,195.41,192.97,193.6,37149570,-0.55
2023-12-26,AAPL,193.61,193.89,192.83,193.05,28919310,-0.28
2023-12-27,AAPL,192.49,193.5,191.09,193.15,47899806,0.05
2023-12-28,AAPL,194.14,194.66,193.17,193.58,34049898,0.22
2023-12-29,AAPL,193.9,194.4,191.725,192.53,42672148,-0.54
